# x, y, theta, s
18.3477, -50.8091, 1.59105, 0
18.3417, -50.5092, 1.59102, 0.3
18.3356, -50.2092, 1.5909, 0.6
18.3296, -49.9093, 1.59072, 0.9
18.3237, -49.6093, 1.59046, 1.2
18.3178, -49.3094, 1.5902, 1.5
18.312, -49.0095, 1.59007, 1.8
18.3062, -48.7095, 1.59007, 2.1
18.3004, -48.4096, 1.59019, 2.4
18.2946, -48.1096, 1.59043, 2.7
18.2887, -47.8097, 1.59077, 3
18.2826, -47.5097, 1.59122, 3.3
18.2764, -47.2098, 1.59178, 3.6
18.27, -46.9099, 1.5925, 3.9
18.2634, -46.6099, 1.59337, 4.2
18.2564, -46.31, 1.59441, 4.5
18.2492, -46.0101, 1.59563, 4.8
18.2415, -45.7102, 1.59706, 5.1
18.2334, -45.4103, 1.5987, 5.4
18.2247, -45.1104, 1.60057, 5.7
18.2155, -44.8106, 1.6027, 6
18.2056, -44.5108, 1.60511, 6.3
18.1949, -44.2109, 1.6078, 6.6
18.1834, -43.9112, 1.61083, 6.9
18.1708, -43.6114, 1.6142, 7.2
18.1573, -43.3117, 1.61794, 7.5
18.1425, -43.0121, 1.62209, 7.8
18.1265, -42.7125, 1.62668, 8.1
18.109, -42.413, 1.63172, 8.4
18.0899, -42.1136, 1.63728, 8.7
18.0691, -41.8144, 1.64335, 9
18.0463, -41.5152, 1.64999, 9.3
18.0215, -41.2162, 1.65723, 9.6
17.9945, -40.9175, 1.66508, 9.9
17.965, -40.6189, 1.67361, 10.2
17.9328, -40.3206, 1.68281, 10.5
17.8978, -40.0227, 1.69271, 10.8
17.8598, -39.7251, 1.70334, 11.1
17.8185, -39.4279, 1.7147, 11.4
17.7737, -39.1313, 1.7268, 11.7
17.7252, -38.8352, 1.73963, 12
17.6728, -38.5398, 1.75315, 12.3
17.6163, -38.2452, 1.76737, 12.6
17.5555, -37.9514, 1.78221, 12.9
17.4903, -37.6586, 1.79764, 13.2
17.4205, -37.3668, 1.81358, 13.5
17.3461, -37.0762, 1.82993, 13.8
17.2668, -36.7868, 1.84665, 14.1
17.1826, -36.4988, 1.8636, 14.4
17.0936, -36.2123, 1.88072, 14.7
16.9996, -35.9274, 1.8977, 15
16.9009, -35.6441, 1.9145, 15.3
16.7975, -35.3625, 1.931, 15.6
16.6895, -35.0826, 1.94719, 15.9
16.577, -34.8045, 1.96309, 16.2
16.4601, -34.5282, 1.97868, 16.5
16.339, -34.2537, 1.99397, 16.8
16.2137, -33.9811, 2.00895, 17.1
16.0844, -33.7103, 2.02362, 17.4
15.9512, -33.4415, 2.03797, 17.7
15.8142, -33.1746, 2.05201, 18
15.6736, -32.9096, 2.06574, 18.3
15.5293, -32.6466, 2.07915, 18.6
