# x, y, z, theta, kappa, s, qx, qy, qz, qw
17.5479, -50.4653, -2.26524, 1.59843, 0, 0.359861, 0.0715799, 0.0263896, 0.712739, 0.697268
17.5314, -49.8653, -2.26305, 1.59828, 0, 0.959861, 0.075915, 0.00910979, 0.712668, 0.697322
17.515, -49.2651, -2.26994, 1.59826, 0.0959319, 1.55986, 0.0789272, -0.0109958, 0.712305, 0.697331
17.4986, -48.6652, -2.25412, 1.65609, 0.0812395, 2.15986, 0.0791803, 0.00405062, 0.732333, 0.676315
17.4473, -48.0664, -2.25612, 1.70517, 0.0676706, 2.75986, 0.069073, -0.00245131, 0.749805, 0.658039
17.3662, -47.4687, -2.22965, 1.74622, 0.05548, 3.35986, 0.069804, -0.0236738, 0.762777, 0.642447
17.2601, -46.8721, -2.20291, 1.78014, 0.0445827, 3.95986, 0.0913454, -0.0232473, 0.771378, 0.629358
17.1329, -46.2769, -2.1773, 1.80762, 0.0350156, 4.55986, 0.108951, -0.0325799, 0.777415, 0.618622
16.9888, -45.6836, -2.11667, 1.82944, 0.0267606, 5.15986, 0.0967049, -0.0102287, 0.786402, 0.610013
16.8312, -45.0926, -2.09806, 1.84627, 0.01984, 5.75986, 0.105452, 0.0570294, 0.788435, 0.603323
16.6632, -44.5046, -2.14405, 1.85897, 0.0142075, 6.35986, 0.188617, 0.0912475, 0.773434, 0.598246
16.4879, -43.9203, -2.1555, 1.86832, 0.00983529, 6.95986, 0.243871, 0.0322049, 0.765549, 0.594496
16.3074, -43.3405, -2.08682, 1.87502, 0.00669629, 7.55986, 0.256594, -0.0296163, 0.763583, 0.591796
16.1238, -42.7665, -1.98733, 1.87993, 0.00470479, 8.15986, 0.203629, -0.0502182, 0.779827, 0.589816
15.9387, -42.1994, -1.91063, 1.88378, 0.00377284, 8.75986, 0.101658, -0.0357823, 0.801456, 0.588263
15.7531, -41.6404, -1.89858, 1.88711, 0.00382558, 9.35986, 0.0501403, 0.000199457, 0.808096, 0.586912
15.5677, -41.0908, -1.9046, 1.89057, 0.00471113, 9.95986, 0.0634558, 0.0128489, 0.808075, 0.585511
15.383, -40.5521, -1.88406, 1.89463, 0.00627699, 10.5599, 0.0956477, -0.0118043, 0.806112, 0.583863
15.1992, -40.0254, -1.85583, 1.89962, 0.00838034, 11.1599, 0.0814873, -0.0213285, 0.808932, 0.581837
15.0161, -39.5115, -1.81972, 1.9057, 0.0108933, 11.7599, 0.031496, -0.0582935, 0.812373, 0.579361
14.8335, -39.0107, -1.7867, 1.91298, 0.013684, 12.3599, 0.0129385, -0.0560225, 0.815149, 0.576391
14.6509, -38.5228, -1.75041, 1.92147, 0.0166362, 12.9599, -0.0232874, -0.0655063, 0.816659, 0.572918
14.4676, -38.0465, -1.72422, 1.9311, 0.0196617, 13.5599, -0.0297103, -0.048441, 0.820396, 0.568966
14.2827, -37.5801, -1.70802, 1.94177, 0.0226901, 14.1599, -0.0419913, -0.03891, 0.823399, 0.564568
14.0948, -37.121, -1.7062, 1.95342, 0.0256633, 14.7599, -0.0313245, -0.0236352, 0.827729, 0.559754
13.9023, -36.6649, -1.6991, 1.96573, 0.0286492, 15.3599, -0.0118489, -0.0224588, 0.831701, 0.554643
13.7036, -36.2093, -1.68817, 1.9793, 0.0313907, 15.9599, 0.013764, -0.0093454, 0.835669, 0.548981
13.4979, -35.7537, -1.67409, 1.99435, 0.0337508, 16.5599, 0.0385192, 0.00194158, 0.839055, 0.542678
13.2841, -35.2981, -1.6599, 2.01065, 0.0357382, 17.1599, 0.0595222, 0.0163207, 0.842076, 0.535816
13.0614, -34.8423, -1.64567, 2.02807, 0.0373416, 17.7599, 0.0778832, 0.0133221, 0.845287, 0.528438
12.8293, -34.3867, -1.63275, 2.04646, 0.0385674, 18.3599, 0.0890334, 0.00301583, 0.849135, 0.520609
12.587, -33.9314, -1.60589, 2.06565, 0.0394307, 18.9599, 0.0693333, 0.00233708, 0.855944, 0.512393
12.3342, -33.477, -1.57917, 2.08547, 0.0399514, 19.5599, 0.0531668, 0.013469, 0.862042, 0.50386
12.0705, -33.0238, -1.5834, 2.10574, 0.0401559, 20.1599, 0.0479311, 0.00455746, 0.867513, 0.495079
11.7958, -32.5724, -1.56915, 2.12631, 0.0400662, 20.7599, 0.0634685, -0.00256632, 0.871581, 0.486118
11.51, -32.1231, -1.5565, 2.14701, 0.0396865, 21.3599, 0.0907875, -0.000733895, 0.874177, 0.477046
11.213, -31.6765, -1.50533, 2.1677, 0.0389966, 21.9599, 0.128167, -0.000494649, 0.874422, 0.467931
10.9051, -31.2329, -1.44346, 2.18818, 0.0380094, 22.5599, 0.125248, 0.046418, 0.878414, 0.458854
10.5863, -30.7929, -1.47424, 2.20829, 0.0366839, 23.1599, 0.0551388, 0.10805, 0.884803, 0.449898
10.257, -30.3566, -1.51149, 2.22782, 0.035238, 23.7599, 0.0541677, 0.0780107, 0.892391, 0.441156
9.91756, -29.9243, -1.52275, 2.2467, 0.0329643, 24.3599, 0.0685277, 0.0557468, 0.897216, 0.432667
9.56845, -29.4961, -1.51582, 2.26445, 0.0325812, 24.9599, 0.0682534, 0.0467042, 0.901573, 0.424647
9.21023, -29.072, -1.51122, 2.28209, 0.0124947, 25.5599, 0.0742414, 0.01732, 0.905867, 0.416646
8.84315, -28.6523, -1.47919, 2.2887, -0.00721761, 26.1599, 0.0742194, -0.0512296, 0.905964, 0.413638
8.47177, -28.2331, -1.40456, 2.28428, -0.0218601, 26.7599, 0.058359, -0.0774546, 0.90434, 0.41565
8.09978, -27.809, -1.36772, 2.27141, -0.0331009, 27.3599, 0.00633238, -0.0501084, 0.905424, 0.421494
7.72902, -27.3747, -1.35555, 2.25154, -0.0410923, 27.9599, -0.00967894, -0.0299122, 0.902051, 0.430483
7.36231, -26.9266, -1.34551, 2.22693, -0.0466536, 28.5599, 0.0190528, -0.0152423, 0.896903, 0.441553
7.00204, -26.4628, -1.32664, 2.19876, -0.0502365, 29.1599, 0.0468294, -0.00245358, 0.889691, 0.454149
6.65015, -25.9817, -1.29766, 2.16806, -0.0522914, 29.7599, 0.0805367, 0.0136006, 0.880069, 0.467769
6.30835, -25.4821, -1.26977, 2.13571, -0.0531957, 30.3599, 0.0892946, -0.00666781, 0.87158, 0.482006
5.97815, -24.9632, -1.22575, 2.10233, -0.0532485, 30.9599, 0.0982221, -0.0146288, 0.862302, 0.496562
5.66086, -24.4249, -1.17609, 2.0684, -0.0526928, 31.5599, 0.0898364, -0.00818474, 0.854705, 0.511216
5.35772, -23.8672, -1.1501, 2.0343, -0.0516914, 32.1599, 0.0655047, 0.00359634, 0.84808, 0.525792
5.06984, -23.2904, -1.13031, 2.00036, -0.0505038, 32.7599, 0.0545275, 0.00829762, 0.839758, 0.540152
4.79822, -22.6952, -1.12477, 1.96671, -0.0488475, 33.3599, 0.0383309, 0.0236585, 0.831141, 0.554235
4.54377, -22.0825, -1.13864, 1.93369, -0.0482318, 33.9599, 0.0421447, 0.0200834, 0.821773, 0.567899
4.30722, -21.4536, -1.13197, 1.90069, -0.0369051, 34.5599, 0.0451293, 0.00904459, 0.812313, 0.581403
4.08958, -20.8096, -1.12951, 1.87503, -0.0243095, 35.1599, 0.0404693, 0.0136523, 0.804958, 0.591792
3.88772, -20.1556, -1.13444, 1.85784, -0.0132637, 35.7599, 0.0371728, 0.00595361, 0.800089, 0.598699
3.69754, -19.4978, -1.12612, 1.84823, -0.00309688, 36.3599, 0.0371172, 0.00607713, 0.797202, 0.602539
